username,anora,conclave,the-brutalist,emilia-perez,nickel-boys,wicked-2024,maria-2024,oppenheimer-2023,poor-things-2023,the-holdovers,american-fiction,everything-everywhere-all-at-once,all-quiet-on-the-western-front-2022,the-fabelmans,the-banshees-of-inisherin,women-talking,top-gun-maverick,elvis-2022,coda-2021,the-power-of-the-dog,west-side-story-2021,dont-look-up-2021,king-richard,tick-tick-boom-2021,dune-2021,mank,nomadland,the-trial-of-the-chicago-7,borat-subsequent-moviefilm,promising-young-woman,palm-springs-2020,parasite-2019,1917,once-upon-a-time-in-hollywood,jojo-rabbit,green-book,roma-2018,black-panther,bohemian-rhapsody,eighth-grade,can-you-ever-forgive-me,the-favourite,cold-war-2018,the-shape-of-water,three-billboards-outside-ebbing-missouri,lady-bird,get-out-2017,call-me-by-your-name,dunkirk-2017,i-tonya,blade-runner-2049,moonlight-2016,la-la-land,hidden-figures,arrival-2016,lion,spotlight,the-big-short,the-revenant-2015,the-martian,mad-max-fury-road,birdman-or-the-unexpected-virtue-of-ignorance,boyhood,the-grand-budapest-hotel,the-imitation-game
cathyk,,,,,,,,,,,,0.73,,0.11,0.11,,-0.51,,0.73,0.73,0.73,-1.74,,-0.51,0.73,0.73,,0.73,,0.73,-0.51,1.35,0.73,0.11,0.73,,1.35,0.11,,1.35,0.73,1.35,,0.73,-0.51,1.96,0.73,0.73,0.73,0.73,1.35,1.35,1.96,0.11,,,1.35,-1.12,,0.73,1.96,,,1.35,
briantt,1.98,0.96,1.98,0.45,1.47,0.45,-0.57,1.98,0.96,0.96,-0.06,0.96,0.45,1.98,1.47,1.47,0.96,0.45,0.45,1.47,0.96,-1.08,-0.06,-0.06,0.45,,1.98,0.45,0.45,-0.06,0.45,1.98,0.45,1.47,-0.06,-0.57,1.98,0.96,-0.57,0.96,-0.06,-0.06,0.45,1.98,1.98,1.98,0.45,1.98,1.98,0.96,0.96,1.98,1.47,0.96,0.45,-0.57,1.47,-0.06,,0.96,1.98,-0.06,0.96,0.45,0.45
theblogosfear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.06,,,,,,,,,,,,,,,,,1.13,,0.06,,,,,,,0.06,,,-2.06,
annanomaly,0.21,1.2,1.2,0.21,0.21,0.7,-0.78,1.69,0.7,1.2,0.7,1.69,-0.78,1.69,1.69,1.2,1.2,0.7,0.21,1.2,0.21,0.21,-0.29,0.7,0.7,-0.78,-0.29,1.69,-0.78,0.21,-0.78,0.7,0.7,1.69,0.21,-0.78,0.21,0.21,0.21,0.7,0.21,1.69,-0.29,1.69,0.7,1.2,0.7,1.2,0.7,0.21,0.21,0.7,1.69,-0.29,0.7,0.21,1.2,0.21,0.7,0.7,0.7,1.2,1.2,0.21,-0.29
letmeexplain,1.13,1.69,,,,,,,,1.13,,1.13,1.13,2.26,,1.13,,0.56,,,,,,,,,,,,1.13,,2.26,1.13,1.13,1.13,,,0.56,,1.13,,,,,,,,,1.13,,,0.56,1.13,0.56,1.69,,,,1.13,0.56,1.13,,,,
zaragwen,,,,-1.02,,,,-0.19,1.88,0.64,,1.88,,1.46,1.05,,1.46,1.05,1.05,,0.22,-0.19,1.05,1.88,0.22,-0.6,,1.46,-1.43,0.64,1.88,1.88,1.88,1.05,1.88,-0.19,,1.05,0.64,1.88,1.05,1.46,,1.46,1.05,1.88,1.05,0.64,0.64,1.05,1.05,1.05,1.88,1.46,1.05,1.46,0.22,0.22,1.88,1.05,1.05,1.46,0.64,1.88,1.05
chrisvfeil,0.22,0.22,0.71,-1.72,1.19,-0.75,-0.75,0.71,0.22,0.22,0.22,-0.26,-1.23,0.71,0.71,0.22,-1.23,0.22,-1.23,1.68,0.22,-1.23,-0.26,-0.26,-0.26,0.22,1.19,-0.75,-0.75,-0.26,-0.75,1.68,-0.75,0.22,-0.75,-1.72,0.71,0.71,-1.23,0.71,1.19,1.68,0.22,1.68,-0.26,1.19,0.71,1.19,0.71,0.22,-0.26,1.68,1.19,0.22,1.68,0.22,1.68,-1.72,0.22,0.71,1.68,1.68,,,
chloeac,,,,,,1.35,,1.83,0.88,,,0.88,0.88,,1.83,,1.83,,1.35,1.35,0.4,-1.03,,0.88,,-1.5,,0.4,,0.4,1.35,1.83,1.83,-0.08,0.88,-0.55,,1.35,-0.08,,0.4,0.4,,0.88,-0.08,0.88,0.88,,1.83,1.35,0.88,,1.35,1.35,1.35,,1.35,0.88,,,,,0.88,1.83,
lucyskeet,,,,,,,,,1.32,,,,,,1.32,,,,,-0.51,,0.71,,0.1,1.32,0.1,1.32,,,-1.73,0.1,1.93,1.32,1.93,1.32,0.1,0.1,0.71,,0.71,,1.93,1.32,1.93,-2.34,1.93,1.32,-0.51,1.93,0.71,1.93,0.71,1.93,1.32,1.32,,0.1,0.1,,,-1.12,0.71,1.32,0.71,
oppenmommy,0.79,-0.22,1.29,-1.23,-0.22,0.79,-0.22,1.8,0.79,-0.73,0.28,0.79,,0.79,0.79,0.79,0.79,,0.28,,1.8,-0.73,0.28,0.79,-0.22,,1.29,0.28,0.28,0.79,0.28,1.8,1.29,1.29,0.79,-1.74,,0.79,-1.74,,,1.29,,0.28,-0.22,1.29,,1.29,0.79,-0.22,0.79,1.8,1.8,0.28,1.29,,,,,-0.22,0.28,,0.79,0.28,0.28
reibureibu,,,,,,,,0.62,,,,,,,,,,0.62,,,,1.15,,,,,0.62,,,-3.06,,1.67,0.62,0.62,-3.06,,0.62,,,0.62,,1.15,,,,0.62,1.15,,,,1.15,0.62,1.67,,,,,,0.62,,,1.15,,1.67,
behaind,0.68,1.25,0.68,-1.62,0.1,-0.47,,-0.47,2.4,0.68,1.25,0.1,0.68,0.68,,,0.1,-1.05,-1.62,0.1,,1.25,-0.47,-0.47,1.83,-0.47,1.25,0.68,,1.25,1.25,1.83,0.1,0.68,0.68,1.25,0.68,0.1,,1.25,,1.25,,0.1,,1.83,,0.68,,0.68,,,,,,,,,,,,,,,
martinisheen,,0.77,,,,,,1.62,0.77,1.62,0.35,1.62,,,,,,,,,-0.08,,,,0.35,,,,,-0.08,-0.08,1.62,,-0.92,0.77,,,1.62,,0.77,,0.77,,-0.08,,-0.08,1.62,-0.5,,0.77,,1.62,,0.77,,,,-0.92,,,1.62,,,1.62,
tylercwhitmore,0.51,0.51,1.43,-1.78,1.89,0.51,0.06,1.89,0.97,1.89,0.51,0.97,0.97,1.43,1.43,0.51,0.97,0.51,1.89,0.51,-0.86,0.97,0.51,0.97,1.89,,-1.32,0.51,,0.51,0.51,1.89,1.43,1.43,0.06,-1.32,,0.06,-1.32,0.97,,0.51,,-0.4,0.06,0.97,1.43,1.43,0.97,0.51,0.97,0.97,1.89,,0.97,,0.97,1.43,0.06,0.51,1.89,0.51,1.89,1.89,0.97
punchdrunklizzy,-1.14,,,-2.77,,,,,,,,1.03,-0.05,,0.49,,,1.03,-1.14,0.49,1.03,-1.14,,0.49,1.03,-0.6,1.03,,,-1.14,1.03,1.03,1.03,,,-1.14,1.03,,-2.23,1.58,,,1.58,2.12,1.03,,,,,1.03,,,2.12,,,,,-0.6,-0.05,,,1.03,,,
jacobknight,1.2,0.68,1.2,0.16,1.2,,,1.72,,0.16,0.16,,,,0.68,-1.41,,-0.89,-0.36,0.16,1.2,-1.41,,,1.2,,0.68,,-0.36,-0.36,1.2,0.68,0.16,1.2,-0.89,-0.36,0.68,0.68,-1.93,1.2,-0.89,0.68,0.68,1.2,1.2,0.16,1.2,1.2,1.72,0.68,1.2,1.2,1.2,,-0.89,,1.2,0.16,0.68,0.68,1.72,,1.72,,
brianformo,0.91,,1.48,1.48,0.33,,0.33,1.48,1.48,,-1.39,-0.24,,0.91,0.91,,0.91,0.33,-0.24,-0.24,0.33,-0.24,0.33,,0.33,-0.82,0.91,-0.82,0.33,,0.33,0.91,,-0.24,-0.82,-0.24,0.91,,-1.97,-0.24,0.33,0.33,0.91,0.91,-1.39,0.91,0.91,0.91,-0.24,-0.24,0.33,0.91,0.33,-1.39,0.91,-0.82,0.91,0.33,-0.82,0.33,1.48,,-0.24,-0.82,
nolanscheetz,,0.76,0.76,,,0.23,,0.76,1.81,0.23,0.23,1.81,,0.76,1.81,,0.76,-1.35,0.23,0.76,,0.76,,0.23,0.23,,-1.35,0.23,,1.81,0.76,1.81,1.28,0.76,0.76,-0.29,,0.23,0.23,0.76,,1.81,,0.23,1.81,0.76,0.76,,1.81,0.76,0.23,1.28,0.76,0.76,1.28,,0.76,0.23,1.28,0.76,0.76,1.81,0.76,1.81,1.81
