username,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,total,anora,conclave,the-brutalist,emilia-perez,nickel-boys,wicked-2024,maria-2024,oppenheimer-2023,poor-things-2023,the-holdovers,american-fiction,everything-everywhere-all-at-once,all-quiet-on-the-western-front-2022,the-fabelmans,the-banshees-of-inisherin,women-talking,top-gun-maverick,elvis-2022,coda-2021,the-power-of-the-dog,west-side-story-2021,dont-look-up-2021,king-richard,tick-tick-boom-2021,dune-2021,mank,nomadland,the-trial-of-the-chicago-7,borat-subsequent-moviefilm,promising-young-woman,palm-springs-2020,parasite-2019,1917,once-upon-a-time-in-hollywood,jojo-rabbit,green-book,roma-2018,black-panther,bohemian-rhapsody,eighth-grade,can-you-ever-forgive-me,the-favourite,cold-war-2018,the-shape-of-water,three-billboards-outside-ebbing-missouri,lady-bird,get-out-2017,call-me-by-your-name,dunkirk-2017,i-tonya,blade-runner-2049,moonlight-2016,la-la-land,hidden-figures,arrival-2016,lion,spotlight,the-big-short,the-revenant-2015,the-martian,mad-max-fury-road,birdman-or-the-unexpected-virtue-of-ignorance,boyhood,the-grand-budapest-hotel,the-imitation-game
ponbac,0,120,0,437,0,1352,0,1273,0,373,3555,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.0,Late 5.0,Missing,Late 5.0,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Late 4.0,3.0,Missing,Missing,Late 4.0,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Late 4.0,Missing,Missing,Missing,Late 3.0
yarjka,31,163,307,343,767,1022,1062,1235,645,439,6014,4.5,4.5,Late 4.0,Late 1.5,Late 2.5,3.5,Missing,4.5,5.0,4.0,Late 3.0,4.0,4.0,4.5,4.0,Late 3.0,2.5,3.5,Late 4.5,4.0,Late 3.5,4.0,Late 4.0,3.0,4.0,Late 2.5,Late 3.5,4.0,3.0,Late 4.5,Late 4.0,5.0,5.0,4.5,3.5,Late 4.5,Late 3.5,4.0,Late 4.5,4.5,4.0,4.5,Late 4.0,Late 4.0,Late 3.0,4.5,Late 5.0,Late 4.0,Late 5.0,Late 4.0,Late 4.5,Missing,Missing,Late 4.0,4.0,Late 4.0,Missing,Missing,Late 4.0,Late 3.0,Late 3.0,Missing,Missing,Late 4.5,Missing
kjdson,19,33,64,188,334,689,675,796,97,398,3293,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,5.0,Missing,Missing,Missing,Missing,4.0,3.5,Missing,Missing,Missing,Missing,Missing,Missing,3.5,Missing,Missing,Missing,Missing,Missing,4.5,Missing,5.0,4.5,4.0,Missing,Missing,Late 5.0,2.5,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,5.0,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Late 5.0,Missing,Missing,Missing,Missing
sarahstubbssays,49,97,141,425,723,1012,974,835,236,414,4906,Missing,Missing,Missing,Missing,Missing,Missing,Missing,5.0,5.0,5.0,3.0,3.0,Missing,4.5,5.0,Missing,5.0,4.5,Missing,Missing,Missing,Missing,Missing,Missing,5.0,Missing,Missing,Missing,Missing,Missing,Missing,5.0,Missing,Late 3.0,Missing,Missing,Missing,5.0,Missing,Late 3.5,Missing,Missing,Missing,5.0,Missing,Late 4.0,5.0,Missing,Missing,Late 3.0,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
zrshelton,131,196,171,221,194,338,283,273,175,81,2063,4.5,4.5,Late 4.0,1.5,5.0,3.5,3.0,Late 4.5,5.0,3.5,4.5,4.5,Late 4.0,3.5,4.5,Late 4.5,3.5,1.0,Late 4.0,2.5,3.0,0.5,4.0,3.5,4.5,3.0,4.5,3.0,Missing,4.0,4.0,Late 5.0,Late 4.0,2.0,Late 2.5,Missing,Missing,Late 4.0,Missing,Missing,Missing,Late 5.0,Missing,Late 4.5,Missing,Late 5.0,Late 4.5,Late 5.0,Missing,Late 4.0,Missing,Missing,Late 4.5,Missing,Late 4.5,Missing,Missing,Missing,Missing,Late 3.5,Missing,Missing,Missing,Late 4.5,Missing
jessedixon,46,90,117,154,238,264,245,232,124,59,1569,3.5,4.0,3.5,Late 2.5,2.0,3.5,2.0,3.5,4.0,3.5,4.0,4.5,4.0,3.0,4.0,3.5,4.0,2.5,Late 4.0,Late 4.0,Late 4.0,Late 4.5,3.0,Missing,Late 4.0,Missing,Missing,Missing,Missing,Late 4.0,Late 3.0,Late 5.0,Late 4.5,Late 4.0,Missing,Missing,Missing,Missing,Missing,Late 4.5,Missing,Late 4.0,Missing,Missing,Late 3.5,Late 3.5,Late 5.0,Late 3.0,Late 3.0,Missing,Missing,Late 3.5,Late 4.0,Missing,Late 5.0,Missing,Late 4.5,Late 2.5,Late 4.5,Missing,Late 4.0,Late 3.5,Missing,Late 4.5,Missing
abovemegan,3,24,30,140,203,385,470,396,330,184,2165,4.0,4.0,Late 3.5,1.0,Missing,3.0,3.5,5.0,Late 3.0,4.0,3.0,4.5,Late 2.0,5.0,4.5,5.0,3.5,3.0,3.5,4.5,4.0,Missing,Missing,4.0,4.0,2.0,4.5,2.0,Missing,Late 3.0,4.0,5.0,Missing,4.0,Missing,Missing,Late 5.0,Missing,Missing,4.5,Late 4.0,Missing,3.5,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Late 3.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.5,Missing,Missing,Missing,Missing
zachtr,4,59,69,261,181,331,275,380,90,130,1780,Late 4.5,Missing,Missing,Missing,Missing,Missing,Missing,4.5,5.0,Missing,Missing,4.0,4.0,4.0,Missing,Missing,4.5,Missing,Missing,Late 4.0,4.5,1.5,Late 3.5,3.5,5.0,Missing,Late 4.0,Missing,3.0,5.0,Missing,5.0,Missing,4.5,Late 4.0,Missing,Missing,Late 4.5,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Late 5.0,Missing,Late 5.0,Missing,Late 4.5,Late 4.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Late 5.0,Missing
parakerman,0,404,0,523,0,693,0,523,0,198,2341,2.0,Missing,Late 2.0,Missing,Missing,Missing,Missing,4.0,Missing,Missing,Missing,1.0,Missing,3.0,Missing,Missing,Missing,Missing,Missing,Late 4.0,Late 4.0,Missing,Missing,Missing,Late 1.0,Missing,Missing,Missing,Missing,Missing,1.0,Late 3.0,Missing,Missing,Late 0.5,Missing,Missing,Missing,Missing,Late 4.0,Missing,Late 3.0,Missing,Late 2.0,Missing,Late 2.0,Missing,Missing,Missing,Missing,Late 1.0,Late 4.0,Late 4.5,Missing,Late 1.0,Missing,Missing,Missing,Missing,Missing,Late 2.0,Missing,Missing,Late 3.5,Missing
bengrayeyard,6,21,29,128,122,225,246,310,44,131,1262,Missing,Missing,Missing,Missing,Missing,4.0,Missing,Late 4.0,Late 5.0,Missing,5.0,3.5,Missing,Missing,Late 3.5,Missing,Missing,Missing,3.5,Late 2.0,Missing,4.0,Late 3.5,Missing,Late 2.5,Missing,4.0,Missing,Missing,Late 4.5,5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
sean_cordy,5,15,73,214,247,642,610,458,293,44,2601,Missing,4.5,Late 4.5,Missing,Missing,Missing,Missing,4.0,3.5,4.5,4.0,4.5,Missing,Missing,4.0,Missing,4.5,3.0,Late 2.0,Late 3.5,4.5,3.5,3.0,4.0,Late 4.5,Late 3.5,4.0,3.0,2.0,4.5,4.5,4.5,5.0,4.5,4.0,2.5,Late 5.0,4.0,2.5,Missing,Missing,2.5,3.5,4.0,4.5,4.5,3.5,4.0,4.5,4.5,Missing,4.0,4.5,3.0,4.5,Late 2.5,Missing,4.0,Missing,3.5,4.0,4.5,Missing,4.0,3.5
mollylaich,7,26,42,115,83,260,196,251,38,149,1167,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Late 4.0,Missing,5.0,Late 4.0,2.5,2.5,3.5,Missing,2.5,2.5,3.0,2.5,2.0,4.0,3.0,4.0,Missing,4.0,4.0,3.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
emilybabyy,4,12,3,40,103,720,701,762,157,340,2842,Missing,4.0,Missing,Missing,Missing,3.5,Missing,5.0,Missing,Missing,4.0,Missing,Missing,Late 4.0,Late 4.0,3.5,5.0,5.0,Missing,Late 5.0,Missing,5.0,Late 4.0,4.0,Missing,3.0,5.0,5.0,Missing,5.0,4.0,5.0,Missing,Late 5.0,Late 3.5,Late 5.0,Missing,Late 4.0,Late 3.5,5.0,4.0,4.5,Late 4.0,Late 4.5,4.0,5.0,5.0,Missing,Missing,4.0,Missing,Late 4.0,5.0,3.5,Missing,4.0,4.5,5.0,Missing,4.0,Missing,5.0,Missing,Missing,5.0
speederaserhead,7,33,98,208,247,549,678,659,325,358,3162,4.5,4.0,Late 3.5,Missing,Missing,Missing,Missing,4.5,Late 4.5,5.0,Missing,3.5,Missing,Missing,Missing,Missing,4.0,4.0,Missing,Missing,Missing,Missing,Missing,Missing,Late 3.5,Late 3.0,Missing,Late 0.5,Missing,1.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing
thommy1801,10,35,73,201,391,1104,1103,1048,369,144,4478,4.0,4.0,Missing,Missing,Missing,Missing,Missing,4.5,Late 4.5,4.0,3.5,4.5,4.0,Late 4.0,Late 4.5,Late 2.5,4.0,3.0,Late 3.0,Late 3.5,3.5,2.0,Missing,3.5,4.5,3.5,Late 4.0,3.5,Missing,Late 3.5,3.5,4.5,4.0,4.5,Late 4.5,Late 3.5,4.0,Late 3.0,4.0,4.0,Missing,Late 3.5,Late 3.0,Late 4.0,Late 5.0,Late 3.0,Late 3.5,Late 3.5,Late 3.5,Late 3.0,Late 4.0,Late 3.5,Late 4.5,Missing,Late 4.0,Missing,Missing,Late 4.0,Missing,Late 4.0,Late 4.5,Late 4.5,Missing,Late 4.5,Missing
danadanger,3,8,19,99,233,757,550,564,101,22,2356,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,4.0,4.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,3.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,4.0,Missing,Missing,Missing,3.5,Missing,Missing,Missing,Missing,Missing,4.0,Missing,Late 3.5,Missing,Missing,Missing,Missing,Missing,Missing,4.0,Missing,Missing,Missing,Missing
ruth,2,27,115,407,1060,1806,2287,837,343,112,6996,Late 2.5,Late 3.0,Late 3.5,Late 3.0,Late 2.5,Missing,Missing,Late 2.5,Missing,Late 4.0,Late 3.0,1.5,Late 2.0,Late 2.5,Late 3.5,Missing,3.5,Late 2.5,Late 2.5,4.0,Late 3.0,4.0,Late 2.0,Late 2.5,Late 2.5,Late 4.5,Late 3.5,Late 3.5,Missing,Late 3.5,Missing,Late 3.5,Late 3.5,3.5,Late 2.5,Late 3.5,3.5,Late 2.5,Late 2.5,Late 3.5,Late 3.0,Late 3.5,Late 3.5,Late 2.5,Late 3.5,Late 4.0,Late 3.5,4.5,4.0,Late 3.5,Late 3.5,Late 3.5,4.0,Late 3.5,Late 3.0,Late 4.0,Late 4.0,Late 3.5,Late 3.5,Late 3.5,4.0,4.5,4.5,3.5,Late 3.5
foxelfprincess,0,367,0,591,0,507,0,204,0,93,1762,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,2.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,4.0,Missing,Missing,Missing,Missing,Missing,Missing,Late 2.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,3.0,Missing,4.0,Missing,Missing,4.0,Missing,Missing,Missing,Late 2.0,Missing,Late 2.0,Missing,Missing,Late 2.0,3.0,2.0,1.0,Missing,Missing,Missing,Missing,Missing,Missing
oneepiexe,31,78,237,428,672,883,603,355,92,19,3398,3.5,4.0,Late 3.5,Late 1.5,Late 3.0,3.5,Missing,3.0,Late 3.5,3.5,2.5,4.0,2.0,2.0,3.0,Missing,4.5,2.0,Missing,3.0,Missing,Missing,Late 2.5,3.0,2.5,1.5,Missing,2.0,2.5,Late 3.5,Late 3.0,Late 3.0,Late 4.5,4.5,Late 2.0,Late 4.0,Late 2.0,Late 3.0,4.5,Late 3.0,Missing,Late 2.0,Missing,Late 3.0,Late 5.0,Late 3.0,Late 3.5,Missing,Late 4.5,Missing,Late 4.5,Late 3.5,Late 4.5,Missing,Late 3.5,Missing,Missing,Late 3.5,Late 3.5,Late 3.5,Late 3.5,Late 4.0,Late 4.5,Late 2.5,Late 4.0
protolexus,0,51,0,162,0,452,0,274,0,140,1079,Late 3.0,3.0,4.0,Missing,Missing,5.0,Missing,3.0,3.0,Late 4.0,Missing,4.0,3.0,3.0,4.0,Missing,5.0,Late 2.0,Late 3.0,4.0,Missing,3.0,Missing,Missing,4.0,4.0,Late 3.0,Missing,2.0,Missing,4.0,4.0,5.0,Late 5.0,Late 4.0,Missing,Late 5.0,Missing,Late 3.0,Missing,Missing,Missing,Late 5.0,Late 3.0,Missing,Late 5.0,Late 4.0,Missing,Missing,Late 4.0,Late 3.0,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing
caseyjv,6,16,29,74,156,361,319,288,130,98,1477,5.0,Late 3.5,Missing,Missing,Missing,Missing,Missing,4.5,5.0,4.5,Missing,4.0,Missing,Late 3.5,4.5,Late 3.5,4.0,Missing,Missing,3.5,Missing,2.0,Missing,Missing,4.0,Missing,Late 3.0,Missing,Missing,3.5,Late 3.5,Late 4.5,Late 4.0,5.0,3.5,Late 3.5,Missing,4.0,2.5,Late 3.0,Missing,4.0,Missing,Late 4.5,Late 3.0,Late 4.0,4.5,4.5,5.0,Late 3.0,4.5,Late 4.5,4.5,Missing,4.5,Late 3.5,Late 4.0,1.5,4.0,Missing,Late 5.0,Missing,Missing,Late 5.0,Missing
scottrenshaw,5,28,204,586,561,766,1163,582,187,70,4152,4.5,4.0,4.0,2.5,3.5,3.0,3.5,3.5,Missing,3.5,4.0,4.5,4.0,3.5,5.0,3.5,4.0,2.0,3.5,4.0,4.0,2.0,3.0,2.0,3.5,2.5,Missing,4.0,3.0,2.0,3.5,4.0,Missing,5.0,2.0,1.5,3.5,3.5,2.0,4.0,3.5,4.5,Missing,3.0,4.5,4.0,3.5,4.0,3.5,Missing,3.5,4.5,4.5,3.5,3.5,2.0,4.5,4.0,3.0,4.0,4.5,3.0,3.5,3.5,3.0
__matheus__,95,140,110,217,175,387,265,490,89,329,2297,5.0,4.0,Missing,1.0,Late 4.5,5.0,3.0,Late 3.0,Late 5.0,Late 3.5,4.0,Late 4.5,Late 3.5,Late 5.0,Late 4.0,Missing,5.0,Late 2.0,Late 4.0,Missing,Missing,Late 2.5,Late 5.0,Late 3.0,Late 4.0,Missing,Late 5.0,Missing,Missing,Late 4.0,Late 4.0,Late 5.0,Missing,Missing,Missing,Late 3.5,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.5,Missing,Late 5.0,Late 5.0,Missing,Missing,Missing,Late 1.5,Missing,Late 4.0,Missing,Late 3.5,Missing,Late 4.0,Missing,Late 1.0,Missing,Late 5.0,Late 4.0,Missing,Late 5.0,Missing
mcp_daskino,5,32,125,189,350,646,845,767,425,167,3551,Late 4.5,4.0,Missing,Missing,Missing,3.5,Missing,Missing,Late 4.5,Late 4.0,4.0,Late 3.5,Missing,Missing,4.5,Missing,3.5,Late 3.5,Missing,Late 4.0,Late 3.0,4.0,Late 4.0,Missing,3.5,Late 4.0,Missing,4.0,Missing,Late 4.0,Missing,Late 4.5,4.5,4.0,Late 3.5,Late 4.0,Late 4.5,4.0,Late 2.5,Missing,4.0,4.5,Missing,Late 4.0,Late 4.5,Late 4.0,4.0,Late 4.5,5.0,Late 4.0,4.0,Missing,Missing,Late 3.5,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Late 4.0
troythrace,8,102,195,375,423,671,821,737,322,111,3765,5.0,4.5,Missing,Missing,Late 4.5,3.5,Missing,Missing,4.5,4.0,3.0,5.0,Missing,Missing,Late 4.0,Missing,1.0,Missing,3.5,4.5,4.5,2.5,Missing,3.5,2.0,Missing,Missing,Missing,Missing,3.0,3.5,Missing,Late 3.5,Missing,Missing,1.5,5.0,4.0,Missing,Late 4.5,4.0,4.5,3.5,3.5,2.5,Late 4.5,4.5,4.5,Late 3.0,Missing,3.5,Late 5.0,3.5,Late 4.0,4.0,4.0,Late 4.5,Missing,Late 2.0,3.0,5.0,2.5,Late 4.0,3.0,2.5
busiestphilipps,62,131,242,836,1087,1357,1054,893,53,38,5753,2.5,Late 4.0,Late 3.5,Missing,Missing,Missing,2.5,4.0,Late 2.0,4.0,3.5,1.5,Missing,3.5,3.0,Missing,3.0,3.5,3.5,4.0,Late 3.0,2.5,3.5,3.0,1.0,2.0,Late 3.0,3.0,3.0,Late 3.5,3.5,Late 3.5,Missing,4.0,Missing,Missing,3.0,3.0,Missing,4.0,Late 3.0,Late 3.5,Late 2.5,2.0,3.5,Late 4.5,3.5,Late 4.0,4.0,Late 3.0,2.5,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.5,4.0,Late 3.0,3.5,2.5,Missing
djtylerswift,79,432,535,1020,1535,1652,1137,674,261,112,7437,4.5,2.0,4.0,1.5,3.5,3.0,2.0,4.0,3.5,3.5,2.5,2.0,3.0,4.0,4.0,3.0,4.0,3.5,3.0,3.5,4.0,2.0,3.5,3.5,4.0,2.5,3.0,2.5,4.0,2.5,3.5,4.5,2.5,5.0,3.0,2.5,4.0,4.0,1.5,4.0,3.5,4.5,Late 3.0,Late 4.0,Late 3.5,Late 4.0,4.5,4.5,Late 4.0,3.5,Late 5.0,Late 4.5,Late 5.0,Late 3.0,Late 4.5,Late 3.0,4.5,Late 3.5,Late 3.5,4.5,Late 5.0,Late 4.0,Late 4.5,4.5,3.0
chichobutt89,90,174,116,141,232,616,325,657,40,285,2676,4.0,Missing,Missing,Missing,Missing,5.0,Missing,4.5,5.0,5.0,Missing,5.0,Missing,4.0,5.0,Missing,Missing,3.5,Missing,Missing,Missing,3.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,5.0,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Late 3.5,Missing,Missing,Late 5.0,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Late 5.0,Missing,Missing,Missing
jake84,97,232,387,500,675,543,648,383,153,70,3688,4.0,Late 4.0,Missing,Missing,Late 4.0,2.0,Missing,4.5,Late 4.0,4.0,Late 3.5,4.5,3.5,Missing,Late 4.0,Missing,4.0,Missing,Missing,Missing,Missing,2.0,Missing,Missing,4.5,4.0,Missing,Missing,3.5,Late 3.5,3.5,4.5,4.0,4.5,Late 3.5,Late 3.5,Late 4.5,2.5,Late 3.0,Missing,Missing,Missing,Missing,Late 2.5,Late 3.5,Missing,4.5,4.0,4.5,Late 3.5,4.5,Late 4.0,Late 4.0,Missing,4.0,Missing,Late 4.0,Late 3.5,Late 4.0,Missing,4.5,3.5,4.5,Missing,3.0
nocopzone,12,43,121,206,274,371,289,283,107,60,1766,Missing,2.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,2.0,3.0,4.0,Missing,Late 2.0,Missing,2.5,3.0,Missing,Missing,Missing,Missing,Missing,Missing,3.0,3.0,Late 3.0,Missing,Missing,2.0,Missing,4.5,3.5,Missing,1.5,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.5,Missing,Missing,Missing,Late 1.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
immortan_scott,643,471,167,1159,409,4654,1417,1773,1076,1598,13367,5.0,4.5,Late 3.0,Late 0.5,4.5,3.0,Missing,5.0,4.5,4.5,4.0,5.0,4.0,5.0,4.5,4.0,4.5,1.0,4.0,4.0,4.5,1.0,3.5,4.0,5.0,1.0,5.0,4.0,4.5,4.5,4.5,5.0,4.5,5.0,4.5,Late 2.5,4.5,4.5,3.0,4.5,4.0,4.5,Late 4.5,Late 5.0,4.5,4.5,4.5,4.5,5.0,4.5,4.5,4.5,5.0,3.5,5.0,4.0,4.5,4.5,4.5,4.5,5.0,4.5,Late 5.0,4.5,4.0
modish,127,222,331,401,577,646,708,690,357,140,4199,4.5,4.0,Late 4.0,2.5,4.0,2.5,3.0,4.0,4.0,4.5,4.0,Missing,Late 4.0,4.5,3.5,3.0,3.5,3.5,Missing,3.5,4.0,4.0,Missing,Late 3.0,3.0,4.0,4.0,4.5,4.0,3.5,3.5,Missing,4.5,4.5,3.5,3.5,4.0,3.5,3.0,4.5,3.5,3.5,3.0,Late 4.5,Late 3.5,Late 4.5,Missing,Late 4.5,3.5,Missing,Missing,5.0,5.0,Late 2.5,4.0,Missing,Missing,Late 4.0,Late 4.5,Late 3.5,Late 4.5,Late 4.0,Late 4.5,Late 4.0,Missing
fakevoorhees,56,179,246,572,689,1049,1032,962,268,119,5172,4.0,Missing,Late 4.5,Missing,Missing,2.0,Missing,4.5,Late 3.0,4.5,4.0,4.0,Missing,Missing,5.0,Missing,3.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,3.0,Missing,Missing,Missing,3.0,Missing,Missing,Late 4.5,3.5,5.0,Late 4.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing
thefavouritw,22,67,55,129,124,235,227,335,94,203,1491,3.0,3.5,Late 3.5,2.0,Missing,Missing,Missing,5.0,Late 3.5,4.0,3.5,5.0,Missing,4.0,3.5,Missing,4.5,3.0,4.0,4.0,Missing,3.0,Late 4.0,Late 4.0,Late 5.0,2.0,4.5,5.0,4.0,5.0,4.0,Late 5.0,Late 5.0,4.5,Missing,Missing,Missing,Missing,Late 3.0,Missing,Late 3.5,Missing,Missing,Late 5.0,Late 4.5,Late 3.0,Missing,Late 3.5,Missing,Missing,Missing,Late 5.0,Missing,Late 5.0,Late 5.0,Missing,Missing,Missing,Missing,Late 3.5,Late 4.0,Missing,Missing,Late 4.0,Missing
ptacekethx,0,213,0,346,0,1327,0,1282,0,1021,4189,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,5.0,Missing,Missing,Missing,5.0,4.0,Missing,4.0,Missing,4.0,5.0,Missing,5.0,Missing,5.0,5.0,Missing,5.0,Missing,Missing,Late 5.0,Late 5.0,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,Missing,Missing,Missing
mayofrommars,16,47,90,133,124,183,246,324,155,137,1455,4.0,4.0,Late 5.0,Missing,Missing,3.5,Missing,Missing,5.0,4.5,Missing,Late 5.0,Missing,Missing,Late 4.5,Missing,4.5,Missing,Missing,Missing,Missing,Late 1.5,Missing,Missing,Late 4.5,Missing,Missing,Missing,Missing,Missing,Late 4.0,Late 5.0,4.5,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 5.0,Missing,5.0,Missing,4.5,Late 5.0,Late 5.0,Missing,Missing,Missing,Missing,Late 2.5,Missing,Missing,Late 4.0,Late 5.0,Missing,Late 4.5,Missing
the_rock,2,25,35,55,260,598,725,871,504,257,3332,Missing,Missing,Missing,Missing,Missing,Missing,Missing,4.5,Missing,Missing,Missing,3.5,Missing,4.0,Missing,Missing,4.0,Missing,Missing,Missing,Missing,Late 3.5,Missing,Missing,4.0,Missing,Missing,Missing,4.0,Missing,Missing,4.0,Missing,4.5,2.5,Missing,4.5,3.5,Missing,Missing,Missing,Missing,Missing,4.5,Late 3.5,Missing,4.0,Missing,4.0,Missing,4.0,Late 4.0,Late 4.5,Missing,5.0,Missing,Missing,Late 4.0,Late 4.0,4.5,5.0,Late 4.0,Missing,Missing,Missing
_ruckerish,64,160,266,519,383,455,733,818,561,159,4118,4.5,4.5,Late 3.5,3.0,Missing,3.5,4.5,4.5,2.5,4.5,3.5,4.5,3.5,4.0,4.5,2.5,4.5,4.5,3.0,4.5,3.5,4.5,4.0,2.0,5.0,2.0,3.5,3.5,3.5,4.5,3.0,5.0,4.5,1.5,3.0,3.5,3.5,2.5,1.5,3.5,4.5,2.0,Missing,4.0,3.5,4.0,5.0,4.5,2.5,3.0,4.0,4.0,4.5,Missing,4.5,Missing,3.5,4.0,2.5,4.0,5.0,Missing,Missing,Missing,Missing
jakepetroski,36,83,92,170,250,285,334,312,210,83,1855,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
tylerharris,0,152,0,481,0,1556,0,1166,0,553,3908,4.0,3.0,5.0,Missing,3.0,2.0,Missing,5.0,2.0,Missing,Missing,Missing,Late 4.0,4.0,4.0,3.0,5.0,5.0,Late 3.0,3.0,4.0,2.0,3.0,Missing,5.0,5.0,3.0,Missing,3.0,Late 1.0,Missing,Missing,Missing,5.0,Missing,Missing,4.0,Missing,Missing,4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Late 4.0,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
